id;address;black_logo;country;cross_street;currency_code;external_venue_id;full_dining_backend;grid_enabled;venue_id;internal_name;membership_enabled;name;neighborhood;phone_number;policy;postal_code;primary_color;secondary_color;state;unique_confirmation_prefix;venue_class;venue_group_id;venue_group_name;venue_url_key;website;white_logo
1;compassion gadzooks;questioningly furthermore severity;Aland Islands;blah psst excitedly;MZN;now;true;false;pricey redeploy;openly because whoa;true;besides equivalent instigate;barring;shocking ack;new brr;oof corkscrew;seat;enchanting;span needily;clever ukulele easy-going;rebuild unethically;where aw thoughtful;valiantly drat evocation;neatly;boat why;longingly interlink pasta
2;humble consequently alert;meh majestically woot;Liechtenstein;creamy anarchist;KMF;neighbor wildlife after;true;false;phooey;including even vice;false;everybody hostess;yowza ugh joyously;makeover;yippee precedent amortize;rat yowza;imaginary sleepily worthy;oh entrap;colony qua;gosh an ick;scarf embellished badly;once abaft how;though patiently;snare;midst;after
3;behind;aw um;Armenia;separately jovially aid;LSL;blissfully;true;true;crafty highly unless;overconfidently;true;ew aw;whereas microwave;whether vacantly midst;dice besides towards;hubcap disdain;brownie at;positive;pace before;happily deduct lyrics;indeed gadzooks madly;scowl sausage;shyly reluctantly;mmm;ringworm meanwhile freezing;kind jailhouse however
4;summarize mortally;ouch;Ukraine;infection outface and;TRY;differ boot;false;false;roughly aspirate via;per oof roger;true;because fertilise till;picture;pipe;annually;hmph behind;reluctantly catch bathroom;furthermore;needily;boohoo;while;except than bestseller;when instruction;hopelessly tachometer pace;task salad;except blackfish after
5;sheathe;until adventurously light;Samoa;than finally;BZD;pace dirty;true;true;via an duck;phew knitting;false;unabashedly;paragraph er unnerve;velvety apud;what gosh where;substance;itchy carelessly;teleconference;heap;psst;boo athwart;telescope sharply playfully;zowie;mmm fiercely;show humongous till;likely
6;vanity;after campaigning lighting;Saint Pierre and Miquelon;versus;DJF;yippee;false;false;analogue;trustworthy;false;abaft linkage;fringe burrow;that nor;against gosh;miserable why;apud;circa atop;throughout;french;above sage;ostracize challenge real;and gruesome inasmuch;freely;likewise;baggy feast where
7;after;underneath ornate;Poland;anenst from zowie;DJF;uh-huh;false;true;ethernet pack whether;gosh arrogantly righteously;false;with creative;pfft even;instead average profane;qua consequently;console powerfully ah;icebreaker idolized;stain of bah;luxurious;vigorous ground bah;plaintive;pontificate;a speedily hmph;provided;bad;than
8;totter;ready a yuck;Bahamas;concerning;HKD;er;false;false;collagen;building yum;false;lovingly;worth why thankfully;parchment defraud;lest;woot polyp;leaker yum resize;as physically;deserted who posh;following now tenderly;almost;murky;along refract eek;gladly;early where while;guinea kindly
9;validity;hm skin;Nicaragua;skull;SBD;curry;false;false;furiously;velvety upside-down broadly;true;rigidly;cloudy sleepy;finally suspiciously slowly;sympathetically till frankly;psst superior;familiar filthy;precedent or slobber;nor;minus initialize venerated;breastplate whose;patiently provided geez;alert beckon stealthily;actually;buzzing whereas accuracy;because even yippee
10;drat;strictly;Malaysia;er on;THB;candid excitedly;true;false;elementary drain consume;midst reassuringly;false;consequently;dig bah however;mid surcharge;pilgrimage futon;outlying oversimplify;since enclosure;remorseful;curiously runner sans;sadly expensive;wiry jovial dirty;borrowing;proponent cuddly;but;feather;up lest
